 Beta  Tr[Hp]/Tr[p]  Tr[Hp]/Tr[p]_error
 1.97    -21.841622            0.069224
 1.98    -21.888609            0.068858
 1.99    -21.932996            0.068789
 2.00    -21.977513            0.068418
 2.01    -22.021382            0.067626
 2.02    -22.067288            0.067434
 2.03    -22.109907            0.066780
 2.04    -22.154168            0.066196
 2.05    -22.191620            0.065901
 2.06    -22.232667            0.065256
 2.07    -22.274409            0.064841
 2.08    -22.309073            0.064451
 2.09    -22.344560            0.064020
 2.10    -22.384033            0.063231
 2.11    -22.425506            0.062455
 2.12    -22.467182            0.062034
 2.13    -22.503809            0.061273
 2.14    -22.539819            0.061072
 2.15    -22.575133            0.060357
 2.16    -22.607713            0.059629
 2.17    -22.637771            0.059588
 2.18    -22.670579            0.058975
 2.19    -22.702171            0.058047
 2.20    -22.736961            0.057232
 2.21    -22.774552            0.056583
 2.22    -22.808911            0.056012
 2.23    -22.836776            0.055758
 2.24    -22.866501            0.054381
 2.25    -22.893830            0.053422
 2.26    -22.923530            0.052737
 2.27    -22.954912            0.051909
 2.28    -22.984771            0.051496
 2.29    -23.015174            0.050541
 2.30    -23.039448            0.049172
 2.31    -23.069714            0.047873
 2.32    -23.095061            0.047427
 2.33    -23.118209            0.046724
 2.34    -23.142272            0.046064
 2.35    -23.165416            0.045300
 2.36    -23.193409            0.044943
 2.37    -23.212592            0.044227
 2.38    -23.233499            0.043553
 2.39    -23.251414            0.043625
 2.40    -23.273435            0.043422
 2.41    -23.301076            0.042662
 2.42    -23.325497            0.042113
 2.43    -23.348837            0.041230
 2.44    -23.367452            0.040670
 2.45    -23.386855            0.040177
 2.46    -23.401986            0.039533
 2.47    -23.422813            0.038916
 2.48    -23.444390            0.038038
 2.49    -23.464768            0.037662
 2.50    -23.484289            0.036761
 2.51    -23.505011            0.036709
 2.52    -23.521977            0.035165
 2.53    -23.546921            0.034064
 2.54    -23.561818            0.033700
 2.55    -23.580419            0.033184
 2.56    -23.595998            0.032636
 2.57    -23.613952            0.031938
 2.58    -23.630124            0.032497
 2.59    -23.645779            0.031454
 2.60    -23.659444            0.030493
 2.61    -23.672523            0.030223
 2.62    -23.681517            0.030107
 2.63    -23.701378            0.029214
 2.64    -23.715997            0.028907
 2.65    -23.725130            0.028591
 2.66    -23.738458            0.027917
 2.67    -23.752096            0.026874
 2.68    -23.760100            0.026626
 2.69    -23.769382            0.025994
 2.70    -23.781437            0.025349
 2.71    -23.795717            0.024997
 2.72    -23.808138            0.024791
 2.73    -23.812774            0.025066
 2.74    -23.820124            0.025006
 2.75    -23.831822            0.024367
 2.76    -23.841872            0.023309
 2.77    -23.854280            0.022874
 2.78    -23.868771            0.022578
 2.79    -23.877144            0.022354
 2.80    -23.887388            0.021474
 2.81    -23.893134            0.022090
 2.82    -23.896865            0.021330
 2.83    -23.913018            0.020809
 2.84    -23.925909            0.020255
 2.85    -23.939049            0.020438
 2.86    -23.948623            0.019900
 2.87    -23.952973            0.019388
 2.88    -23.963686            0.018760
 2.89    -23.973095            0.018862
 2.90    -23.976916            0.018894
 2.91    -23.987533            0.018750
 2.92    -23.998648            0.018664
 2.93    -24.009289            0.018100
 2.94    -24.016015            0.018603
 2.95    -24.023767            0.018111
 2.96    -24.034965            0.017566
 2.97    -24.039189            0.016661
 2.98    -24.047689            0.016450
 2.99    -24.061360            0.016162
 3.00    -24.063535            0.016437
 3.01    -24.066341            0.015827
 3.02    -24.076891            0.015241
 3.03    -24.079301            0.014852
 3.04    -24.084105            0.014653
 3.05    -24.091435            0.013979
 3.06    -24.096579            0.014142
 3.07    -24.096890            0.013354
 3.08    -24.100893            0.012678
 3.09    -24.108215            0.011996
 3.10    -24.116836            0.011941
 3.11    -24.128997            0.011913
 3.12    -24.133023            0.011579
 3.13    -24.140920            0.010955
 3.14    -24.148928            0.010861
 3.15    -24.147755            0.011717
 3.16    -24.154026            0.012057
 3.17    -24.158295            0.011378
 3.18    -24.161464            0.011632
 3.19    -24.166770            0.011402
 3.20    -24.172983            0.011097
 3.21    -24.178747            0.011077
 3.22    -24.186403            0.010564
 3.23    -24.193664            0.010861
 3.24    -24.190665            0.010500
 3.25    -24.189893            0.010786
 3.26    -24.196627            0.010455
 3.27    -24.206075            0.009791
 3.28    -24.215999            0.009422
 3.29    -24.225490            0.009351
 3.30    -24.223591            0.009443
 3.31    -24.223620            0.009943
 3.32    -24.223005            0.010284
 3.33    -24.216650            0.010643
 3.34    -24.219701            0.010632
 3.35    -24.220554            0.010592
 3.36    -24.218907            0.010682
 3.37    -24.214459            0.011015
 3.38    -24.218883            0.011437
 3.39    -24.217706            0.011091
 3.40    -24.221352            0.011049
 3.41    -24.224737            0.010723
 3.42    -24.227077            0.010643
 3.43    -24.231977            0.010592
 3.44    -24.239004            0.010293
 3.45    -24.241095            0.010742
 3.46    -24.241584            0.010033
 3.47    -24.248921            0.010168
 3.48    -24.259507            0.010221
 3.49    -24.259057            0.010271
 3.50    -24.262331            0.009971
 3.51    -24.261194            0.009994
 3.52    -24.261359            0.010215
 3.53    -24.259798            0.010484
 3.54    -24.258215            0.010786
 3.55    -24.259364            0.010974
 3.56    -24.264412            0.009928
 3.57    -24.262263            0.009510
 3.58    -24.265635            0.009693
 3.59    -24.268239            0.009441
 3.60    -24.271546            0.009374
 3.61    -24.273550            0.009254
 3.62    -24.274032            0.009468
 3.63    -24.270885            0.009224
 3.64    -24.273720            0.009380
 3.65    -24.275668            0.009003
 3.66    -24.277549            0.009240
 3.67    -24.279195            0.008975
 3.68    -24.282197            0.008539
