
   HANDE

 ================================================================
 Compiled on Mar 21 2016 at 19:13:39
 Compiled using cuc3.intel13.mpi.(optimised)
 VCS BASE repository version:
     d8211eb317e354755be157df381fd8ad291afaaf
 Hostname:
     hylleraas
 Working directory: 
     /home/fm813/projects/hande/documentation/manual/tutorials/calcs/canonical_estimates
 Started running on 21/03/2016 at 19:19:51
 Calculation UUID: 71e445ad-6deb-4f6d-9fd2-5b0240340c48.
 Preprocessor settings:
     DISABLE_HDF5 not defined.  HDF5 enabled.
     DISABLE_LANCZOS defined.  Lanczos disabled.
     DISABLE_UUID not defined.  UUID enabled.
     PARALLEL defined.  MPI parallelization enabled.
     DISABLE_SCALAPACK not defined.  ScaLAPACK enabled.
     SINGLE_PRECISION not defined.  Double precision used throughout.
     USE_POPCNT not defined.  Internal POPCNT procedure used.
     DET_SIZE = 32.
     POP_SIZE = 32.
 ================================================================

 Input options
 -------------

sys = ueg {
    nel = 7,
    ms = 7,
    dim = 3,
    cutoff = 10,
    rs = 1,
}

canonical_estimates {
    sys = sys,
    canonical_estimates = {
        beta = 1,
        nattempts = 10000,
        ncycles = 1000,
        fermi_temperature = true,
    },
}

 -------------

 Basis functions
 ---------------

 Spin given in units of 1/2.
 k-points given in terms of the reciprocal lattice vectors of the crystal cell.

 index   k-point            ms       <i|h|i>
     1   (  0,  0,  0)      1        0.00000000E+00
     2   (  0,  0,  0)     -1        0.00000000E+00
     3   (  0,  0, -1)      1        2.07589464E+00
     4   (  0,  0, -1)     -1        2.07589464E+00
     5   (  0, -1,  0)      1        2.07589464E+00
     6   (  0, -1,  0)     -1        2.07589464E+00
     7   ( -1,  0,  0)      1        2.07589464E+00
     8   ( -1,  0,  0)     -1        2.07589464E+00
     9   (  1,  0,  0)      1        2.07589464E+00
    10   (  1,  0,  0)     -1        2.07589464E+00
    11   (  0,  1,  0)      1        2.07589464E+00
    12   (  0,  1,  0)     -1        2.07589464E+00
    13   (  0,  0,  1)      1        2.07589464E+00
    14   (  0,  0,  1)     -1        2.07589464E+00
    15   (  0, -1, -1)      1        4.15178929E+00
    16   (  0, -1, -1)     -1        4.15178929E+00
    17   ( -1,  0, -1)      1        4.15178929E+00
    18   ( -1,  0, -1)     -1        4.15178929E+00
    19   (  1,  0, -1)      1        4.15178929E+00
    20   (  1,  0, -1)     -1        4.15178929E+00
    21   (  0,  1, -1)      1        4.15178929E+00
    22   (  0,  1, -1)     -1        4.15178929E+00
    23   ( -1, -1,  0)      1        4.15178929E+00
    24   ( -1, -1,  0)     -1        4.15178929E+00
    25   (  1, -1,  0)      1        4.15178929E+00
    26   (  1, -1,  0)     -1        4.15178929E+00
    27   ( -1,  1,  0)      1        4.15178929E+00
    28   ( -1,  1,  0)     -1        4.15178929E+00
    29   (  1,  1,  0)      1        4.15178929E+00
    30   (  1,  1,  0)     -1        4.15178929E+00
    31   (  0, -1,  1)      1        4.15178929E+00
    32   (  0, -1,  1)     -1        4.15178929E+00
    33   ( -1,  0,  1)      1        4.15178929E+00
    34   ( -1,  0,  1)     -1        4.15178929E+00
    35   (  1,  0,  1)      1        4.15178929E+00
    36   (  1,  0,  1)     -1        4.15178929E+00
    37   (  0,  1,  1)      1        4.15178929E+00
    38   (  0,  1,  1)     -1        4.15178929E+00
    39   ( -1, -1, -1)      1        6.22768393E+00
    40   ( -1, -1, -1)     -1        6.22768393E+00
    41   (  1, -1, -1)      1        6.22768393E+00
    42   (  1, -1, -1)     -1        6.22768393E+00
    43   ( -1,  1, -1)      1        6.22768393E+00
    44   ( -1,  1, -1)     -1        6.22768393E+00
    45   (  1,  1, -1)      1        6.22768393E+00
    46   (  1,  1, -1)     -1        6.22768393E+00
    47   ( -1, -1,  1)      1        6.22768393E+00
    48   ( -1, -1,  1)     -1        6.22768393E+00
    49   (  1, -1,  1)      1        6.22768393E+00
    50   (  1, -1,  1)     -1        6.22768393E+00
    51   ( -1,  1,  1)      1        6.22768393E+00
    52   ( -1,  1,  1)     -1        6.22768393E+00
    53   (  1,  1,  1)      1        6.22768393E+00
    54   (  1,  1,  1)     -1        6.22768393E+00
    55   (  0,  0, -2)      1        8.30357857E+00
    56   (  0,  0, -2)     -1        8.30357857E+00
    57   (  0, -2,  0)      1        8.30357857E+00
    58   (  0, -2,  0)     -1        8.30357857E+00
    59   ( -2,  0,  0)      1        8.30357857E+00
    60   ( -2,  0,  0)     -1        8.30357857E+00
    61   (  2,  0,  0)      1        8.30357857E+00
    62   (  2,  0,  0)     -1        8.30357857E+00
    63   (  0,  2,  0)      1        8.30357857E+00
    64   (  0,  2,  0)     -1        8.30357857E+00
    65   (  0,  0,  2)      1        8.30357857E+00
    66   (  0,  0,  2)     -1        8.30357857E+00
    67   (  0, -1, -2)      1        1.03794732E+01
    68   (  0, -1, -2)     -1        1.03794732E+01
    69   ( -1,  0, -2)      1        1.03794732E+01
    70   ( -1,  0, -2)     -1        1.03794732E+01
    71   (  1,  0, -2)      1        1.03794732E+01
    72   (  1,  0, -2)     -1        1.03794732E+01
    73   (  0,  1, -2)      1        1.03794732E+01
    74   (  0,  1, -2)     -1        1.03794732E+01
    75   (  0, -2, -1)      1        1.03794732E+01
    76   (  0, -2, -1)     -1        1.03794732E+01
    77   ( -2,  0, -1)      1        1.03794732E+01
    78   ( -2,  0, -1)     -1        1.03794732E+01
    79   (  2,  0, -1)      1        1.03794732E+01
    80   (  2,  0, -1)     -1        1.03794732E+01
    81   (  0,  2, -1)      1        1.03794732E+01
    82   (  0,  2, -1)     -1        1.03794732E+01
    83   ( -1, -2,  0)      1        1.03794732E+01
    84   ( -1, -2,  0)     -1        1.03794732E+01
    85   (  1, -2,  0)      1        1.03794732E+01
    86   (  1, -2,  0)     -1        1.03794732E+01
    87   ( -2, -1,  0)      1        1.03794732E+01
    88   ( -2, -1,  0)     -1        1.03794732E+01
    89   (  2, -1,  0)      1        1.03794732E+01
    90   (  2, -1,  0)     -1        1.03794732E+01
    91   ( -2,  1,  0)      1        1.03794732E+01
    92   ( -2,  1,  0)     -1        1.03794732E+01
    93   (  2,  1,  0)      1        1.03794732E+01
    94   (  2,  1,  0)     -1        1.03794732E+01
    95   ( -1,  2,  0)      1        1.03794732E+01
    96   ( -1,  2,  0)     -1        1.03794732E+01
    97   (  1,  2,  0)      1        1.03794732E+01
    98   (  1,  2,  0)     -1        1.03794732E+01
    99   (  0, -2,  1)      1        1.03794732E+01
   100   (  0, -2,  1)     -1        1.03794732E+01
   101   ( -2,  0,  1)      1        1.03794732E+01
   102   ( -2,  0,  1)     -1        1.03794732E+01
   103   (  2,  0,  1)      1        1.03794732E+01
   104   (  2,  0,  1)     -1        1.03794732E+01
   105   (  0,  2,  1)      1        1.03794732E+01
   106   (  0,  2,  1)     -1        1.03794732E+01
   107   (  0, -1,  2)      1        1.03794732E+01
   108   (  0, -1,  2)     -1        1.03794732E+01
   109   ( -1,  0,  2)      1        1.03794732E+01
   110   ( -1,  0,  2)     -1        1.03794732E+01
   111   (  1,  0,  2)      1        1.03794732E+01
   112   (  1,  0,  2)     -1        1.03794732E+01
   113   (  0,  1,  2)      1        1.03794732E+01
   114   (  0,  1,  2)     -1        1.03794732E+01
   115   ( -1, -1, -2)      1        1.24553679E+01
   116   ( -1, -1, -2)     -1        1.24553679E+01
   117   (  1, -1, -2)      1        1.24553679E+01
   118   (  1, -1, -2)     -1        1.24553679E+01
   119   ( -1,  1, -2)      1        1.24553679E+01
   120   ( -1,  1, -2)     -1        1.24553679E+01
   121   (  1,  1, -2)      1        1.24553679E+01
   122   (  1,  1, -2)     -1        1.24553679E+01
   123   ( -1, -2, -1)      1        1.24553679E+01
   124   ( -1, -2, -1)     -1        1.24553679E+01
   125   (  1, -2, -1)      1        1.24553679E+01
   126   (  1, -2, -1)     -1        1.24553679E+01
   127   ( -2, -1, -1)      1        1.24553679E+01
   128   ( -2, -1, -1)     -1        1.24553679E+01
   129   (  2, -1, -1)      1        1.24553679E+01
   130   (  2, -1, -1)     -1        1.24553679E+01
   131   ( -2,  1, -1)      1        1.24553679E+01
   132   ( -2,  1, -1)     -1        1.24553679E+01
   133   (  2,  1, -1)      1        1.24553679E+01
   134   (  2,  1, -1)     -1        1.24553679E+01
   135   ( -1,  2, -1)      1        1.24553679E+01
   136   ( -1,  2, -1)     -1        1.24553679E+01
   137   (  1,  2, -1)      1        1.24553679E+01
   138   (  1,  2, -1)     -1        1.24553679E+01
   139   ( -1, -2,  1)      1        1.24553679E+01
   140   ( -1, -2,  1)     -1        1.24553679E+01
   141   (  1, -2,  1)      1        1.24553679E+01
   142   (  1, -2,  1)     -1        1.24553679E+01
   143   ( -2, -1,  1)      1        1.24553679E+01
   144   ( -2, -1,  1)     -1        1.24553679E+01
   145   (  2, -1,  1)      1        1.24553679E+01
   146   (  2, -1,  1)     -1        1.24553679E+01
   147   ( -2,  1,  1)      1        1.24553679E+01
   148   ( -2,  1,  1)     -1        1.24553679E+01
   149   (  2,  1,  1)      1        1.24553679E+01
   150   (  2,  1,  1)     -1        1.24553679E+01
   151   ( -1,  2,  1)      1        1.24553679E+01
   152   ( -1,  2,  1)     -1        1.24553679E+01
   153   (  1,  2,  1)      1        1.24553679E+01
   154   (  1,  2,  1)     -1        1.24553679E+01
   155   ( -1, -1,  2)      1        1.24553679E+01
   156   ( -1, -1,  2)     -1        1.24553679E+01
   157   (  1, -1,  2)      1        1.24553679E+01
   158   (  1, -1,  2)     -1        1.24553679E+01
   159   ( -1,  1,  2)      1        1.24553679E+01
   160   ( -1,  1,  2)     -1        1.24553679E+01
   161   (  1,  1,  2)      1        1.24553679E+01
   162   (  1,  1,  2)     -1        1.24553679E+01
   163   (  0, -2, -2)      1        1.66071571E+01
   164   (  0, -2, -2)     -1        1.66071571E+01
   165   ( -2,  0, -2)      1        1.66071571E+01
   166   ( -2,  0, -2)     -1        1.66071571E+01
   167   (  2,  0, -2)      1        1.66071571E+01
   168   (  2,  0, -2)     -1        1.66071571E+01
   169   (  0,  2, -2)      1        1.66071571E+01
   170   (  0,  2, -2)     -1        1.66071571E+01
   171   ( -2, -2,  0)      1        1.66071571E+01
   172   ( -2, -2,  0)     -1        1.66071571E+01
   173   (  2, -2,  0)      1        1.66071571E+01
   174   (  2, -2,  0)     -1        1.66071571E+01
   175   ( -2,  2,  0)      1        1.66071571E+01
   176   ( -2,  2,  0)     -1        1.66071571E+01
   177   (  2,  2,  0)      1        1.66071571E+01
   178   (  2,  2,  0)     -1        1.66071571E+01
   179   (  0, -2,  2)      1        1.66071571E+01
   180   (  0, -2,  2)     -1        1.66071571E+01
   181   ( -2,  0,  2)      1        1.66071571E+01
   182   ( -2,  0,  2)     -1        1.66071571E+01
   183   (  2,  0,  2)      1        1.66071571E+01
   184   (  2,  0,  2)     -1        1.66071571E+01
   185   (  0,  2,  2)      1        1.66071571E+01
   186   (  0,  2,  2)     -1        1.66071571E+01
   187   (  0,  0, -3)      1        1.86830518E+01
   188   (  0,  0, -3)     -1        1.86830518E+01
   189   ( -1, -2, -2)      1        1.86830518E+01
   190   ( -1, -2, -2)     -1        1.86830518E+01
   191   (  1, -2, -2)      1        1.86830518E+01
   192   (  1, -2, -2)     -1        1.86830518E+01
   193   ( -2, -1, -2)      1        1.86830518E+01
   194   ( -2, -1, -2)     -1        1.86830518E+01
   195   (  2, -1, -2)      1        1.86830518E+01
   196   (  2, -1, -2)     -1        1.86830518E+01
   197   ( -2,  1, -2)      1        1.86830518E+01
   198   ( -2,  1, -2)     -1        1.86830518E+01
   199   (  2,  1, -2)      1        1.86830518E+01
   200   (  2,  1, -2)     -1        1.86830518E+01
   201   ( -1,  2, -2)      1        1.86830518E+01
   202   ( -1,  2, -2)     -1        1.86830518E+01
   203   (  1,  2, -2)      1        1.86830518E+01
   204   (  1,  2, -2)     -1        1.86830518E+01
   205   ( -2, -2, -1)      1        1.86830518E+01
   206   ( -2, -2, -1)     -1        1.86830518E+01
   207   (  2, -2, -1)      1        1.86830518E+01
   208   (  2, -2, -1)     -1        1.86830518E+01
   209   ( -2,  2, -1)      1        1.86830518E+01
   210   ( -2,  2, -1)     -1        1.86830518E+01
   211   (  2,  2, -1)      1        1.86830518E+01
   212   (  2,  2, -1)     -1        1.86830518E+01
   213   (  0, -3,  0)      1        1.86830518E+01
   214   (  0, -3,  0)     -1        1.86830518E+01
   215   ( -3,  0,  0)      1        1.86830518E+01
   216   ( -3,  0,  0)     -1        1.86830518E+01
   217   (  3,  0,  0)      1        1.86830518E+01
